stock,start,end,final_portfolio_value,buy_and_hold_value,sharpe_ratio,max_drawdown
AAPL,2025-01-01,2025-03-01,10000.0,9917.59,-0.06151068487542133,-0.09126530612244903
MSFT,2025-01-01,2025-03-01,10037.089,9503.43,-1.2035985457191885,-0.12224955277280815
TSLA,2025-01-01,2025-03-01,10636.89935,7756.200000000002,-2.7100642393686196,-0.34157675960954675
AMZN,2025-01-01,2025-03-01,10038.341549999997,9642.7,-0.8124794841936106,-0.1376518218623482
GOOG,2025-01-01,2025-03-01,10141.5685,9042.68,-1.969487774385157,-0.18054017620721188
META,2025-01-01,2025-03-01,9633.525002999999,11103.36,2.8247948268625387,-0.10747010194523979
NVDA,2025-01-01,2025-03-01,10000.0,9035.92,-0.5771653416307112,-0.2193000066920968
BRK-B,2025-01-01,2025-03-01,10247.5944,11380.06,4.549400212192437,-0.024032101596260867
JNJ,2025-01-01,2025-03-01,10087.660300000003,11449.0,4.528519371222214,-0.028516720235245853
PG,2025-01-01,2025-03-01,9932.268600000001,10471.6,1.4799719630714954,-0.047538299614080425
UNH,2025-01-01,2025-03-01,10258.686699999998,9438.55,-0.9725677848074751,-0.15808675982341575
V,2025-01-01,2025-03-01,10079.2557,11497.61,6.6766135385002565,-0.02537232860182287
XOM,2025-01-01,2025-03-01,10000.0,10373.86,1.2099648467363717,-0.04887820512820513
CVX,2025-01-01,2025-03-01,10000.0,10809.88,2.6034519542756622,-0.07605127887533263
